,Contrast,Variance,jsd,Filter,Metric
0,0.5974722301192448,0.5990217104616162,0.04883528469400693,AE,0.7747058427982119
1,0.6217516724130915,0.6240200590576164,0.10147014055255818,AE,0.7607078625913979
2,0.69125855957148,0.6952284886862219,0.9666812456585945,AE,0.3632811392351282
3,0.6292828575612034,0.6312204045895644,0.050163755462360016,AE,0.7900439378065119
4,0.6445616599449899,0.6461997579095357,0.0450798275630671,AE,0.8001504406820978
5,0.5858412442190386,0.5873881953678395,0.06563301283271152,FANS,0.7604908534803638
6,0.5960409998441862,0.597427297455894,0.08523716502409691,FANS,0.7557484918129715
7,0.6024149250483611,0.6032984944315394,0.08042112957026781,FANS,0.7612177900848411
8,0.6152070856981614,0.6163524323512495,0.07760470905766179,FANS,0.7690875249835218
9,0.6245240980843946,0.6254901755470439,0.05507479830281492,FANS,0.7849661692564522
10,0.6060871490468126,0.606497311865905,0.11082115151798826,Monet,0.7477355394691854
11,0.6004413076958514,0.6017863992937895,0.08703388132731306,Monet,0.7570399860837537
12,0.5766533429270894,0.5788158626160094,0.007952600255616487,Monet,0.7848910012579664
13,0.6382603610852349,0.6388623761992964,0.09096194779737538,Monet,0.7737997104224452
14,0.673568437128651,0.6748130653006379,0.13633750859425917,Monet,0.7689266213101926
15,0.1620406784774508,0.1627211976183893,1.0,SCUNet,0.08119046902396002
16,0.20389941916125998,0.20414764285142087,1.0,SCUNet,0.1020117655031702
17,0.17739993582917818,0.1783160784121312,1.0,SCUNet,0.08892900356032735
18,0.20678987177332162,0.20720172774078321,1.0,SCUNet,0.1034978998785262
19,0.2252078028026039,0.22538800248953228,1.0,SCUNet,0.11264895132303404
20,1.0,1.0,0.0,Gamma,1.0
